Year,Study,Namespace,TP,FP,FN,Gold,TestPositive,Precision,Recall,F1,Label,size,color,alpha,
2014,NCBO,CC,2287,779,6067,8354,3066,0.746,0.274,0.401,NCBO 2014,278.4666667,0.5776,1,0.4
2014,NCBO,MF,173,195,4007,4180,368,0.47,0.041,0.076,NCBO 2014,139.3333333,0.5776,1,0.4
2014,NCBO,BP,2592,1120,14321,16913,3712,0.698,0.153,0.251,NCBO 2014,563.7666667,0.5776,1,0.4
2014,NCBO,Total,5052,2094,24395,29447,7146,0.707,0.172,0.276,NCBO 2014,981.5666667,0.5776,1,0.4
2014,MetaMap,CC,6111,2969,2341,8452,9080,0.673,0.723,0.697,MetaMap 2014,281.7333333,0.5776,1,0.4
2014,MetaMap,MF,393,3846,3738,4131,4239,0.093,0.095,0.094,MetaMap 2014,137.7,0.5776,1,0.4
2014,MetaMap,BP,5802,4994,11111,16913,10796,0.537,0.343,0.419,MetaMap 2014,563.7666667,0.5776,1,0.4
2014,MetaMap,Total,12306,11809,17190,29496,24115,0.51,0.417,0.459,MetaMap 2014,983.2,0.5776,1,0.4
2014,ConceptMapper,CC,5532,452,2822,8354,5984,0.924,0.662,0.772,ConceptMapper 2014,278.4666667,0.5776,1,0.4
2014,ConceptMapper,MF,337,425,3834,4171,762,0.442,0.081,0.137,ConceptMapper 2014,139.0333333,0.5776,1,0.4
2014,ConceptMapper,BP,4909,5701,12004,16913,10610,0.463,0.29,0.357,ConceptMapper 2014,563.7666667,0.5776,1,0.4
2014,ConceptMapper,Total,10778,6578,18660,29438,17356,0.621,0.366,0.461,ConceptMapper 2014,981.2666667,0.5776,1,0.4
2015,Groza,CC,6113,1202,2240,8353,7315,0.836,0.732,0.78,Groza 2015,278.4333333,0.7056,1,0.6
2015,Groza,BPMF,7180,7881,13913,21093,15061,0.477,0.34,0.397,Groza 2015 (BP+MF),703.1,gray,1,black
2015,Groza,Total,13293,9083,16153,29446,22376,0.594,0.451,0.513,Groza 2015,981.5333333,0.7056,1,0.6
2016,Funk,CC,6585,969,1769,8354,7554,0.872,0.788,0.828,Funk 2016,278.4666667,0.8464,1,0.8
2016,Funk,MF,2442,1073,1785,4227,3515,0.695,0.578,0.631,Funk 2016,140.9,0.8464,1,0.8
2016,Funk,BP,9604,8464,7309,16913,18068,0.532,0.568,0.549,Funk 2016,563.7666667,0.8464,1,0.8
2016,Funk,Total,18631,10506,10863,29494,29137,0.639,0.632,0.636,Funk 2016,983.1333333,0.8464,1,0.8
2017,NCGOCR,CC,6979,811,1378,8357,7790,0.896,0.845,0.868,NCGOCR,278.5666667,1,1,1
2017,NCGOCR,MF,2434,446,1746,4180,2880,0.842,0.599,0.69,NCGOCR,139.3333333,1,1,1
2017,NCGOCR,BP,11571,3890,5342,16913,15461,0.754,0.686,0.717,NCGOCR,563.7666667,1,1,1
2017,NCGOCR,Total,20984,5147,8466,29450,26131,0.804,0.715,0.757,NCGOCR,981.6666667,1,1,1
2013,Neji,CC,7012,2502,1345,8357,9514,0.839,0.737,0.785,Neji 2013,278.5666667,0.4624,1,#E7F3E8
2013,Neji,BPMF,13331,19104,7762,21093,32435,0.632,0.411,0.498,Neji 2013 (BP+MF),703.1,gray,1,black
2013,Neji,Total,20342,21606,9104,29446,41949,0.691,0.485,0.57,Neji 2013,981.5333333,0.4624,1,0.2
2007,Whatizit,CC,1638 ,631 ,6719 ,8357 ,2269 ,0.722 ,0.196 ,0.308 ,Whatizit 2007,278.5666667,0.04,1,
2007,Whatizit,BPMF,3058 ,883 ,18035 ,21093 ,3941 ,0.776 ,0.145 ,0.244 ,Whatizit 2007 (BP+MF),703.1,gray,1,black
2007,Whatizit,Total,4696 ,1514 ,24754 ,29446 ,6210 ,0.756 ,0.159 ,0.263 ,Whatizit 2007,981.5333333,0.04,1,
